step, strain, right, left, 
0, 0, -11.8818, 11.8818, 
100, 0, -3.35215, 3.35215, 
200, 0, 0.97968, -0.97968, 
300, 0, -0.42112, 0.42112, 
400, 0, -7.59634, 7.59634, 
500, 0, -6.04326, 6.04326, 
600, 0, -3.99876, 3.99876, 
700, 0, 0.724294, -0.724294, 
800, 0, -3.55761, 3.55761, 
900, 0, -6.25978, 6.25978, 
1000, 0, -5.48378, 5.48378, 
1100, 0, -1.79948, 1.79948, 
1200, 0, -1.67722, 1.67722, 
1300, 0, -3.54675, 3.54675, 
1400, 0, -5.90417, 5.90417, 
1500, 0, -4.25495, 4.25495, 
1600, 0, -1.69254, 1.69254, 
1700, 0, -2.32617, 2.32617, 
1800, 0, -5.12697, 5.12697, 
1900, 0, -4.58801, 4.58801, 
2000, 0, -3.14129, 3.14129, 
2100, 0, -2.60859, 2.60859, 
2200, 0, -3.62076, 3.62076, 
2300, 0, -4.35211, 4.35211, 
2400, 0, -3.95949, 3.95949, 
2500, 0, -3.11756, 3.11756, 
2600, 0, -3.15982, 3.15982, 
2700, 0, -3.74674, 3.74674, 
2800, 0, -4.07524, 4.07524, 
2900, 0, -3.43138, 3.43138, 
3000, 0, -3.31189, 3.31189, 
3100, 0, -3.68608, 3.68608, 
3200, 0, -3.97525, 3.97525, 
3300, 0, -3.62721, 3.62721, 
3400, 0, -3.39296, 3.39296, 
3500, 0, -3.49559, 3.49559, 
3600, 0, -3.97791, 3.97791, 
3700, 0, -3.78502, 3.78502, 
3800, 0, -3.24644, 3.24644, 
3900, 0, -3.35697, 3.35697, 
4000, 0, -3.95319, 3.95319, 
4100, 0, -3.73358, 3.73358, 
4200, 0, -3.59381, 3.59381, 
4300, 0, -3.29041, 3.29041, 
4400, 0, -3.72585, 3.72585, 
4500, 0, -3.82421, 3.82421, 
4600, 0, -3.86351, 3.86351, 
4700, 0, -3.27667, 3.27667, 
4800, 0, -3.53848, 3.53848, 
4900, 0, -3.67947, 3.67947, 
5000, 0, -3.93108, 3.93108, 
5100, 0, -3.4885, 3.4885, 
5200, 0, -3.41069, 3.41069, 
5300, 0, -3.51856, 3.51856, 
5400, 0, -3.90078, 3.90078, 
5500, 0, -3.70863, 3.70863, 
5600, 0, -3.46117, 3.46117, 
5700, 0, -3.39562, 3.39562, 
5800, 0, -3.81161, 3.81161, 
5900, 0, -3.77506, 3.77506, 
6000, 0, -3.56643, 3.56643, 
6100, 0, -3.40396, 3.40396, 
6200, 0, -3.66072, 3.66072, 
6300, 0, -3.72987, 3.72987, 
6400, 0, -3.69318, 3.69318, 
6500, 0, -3.47737, 3.47737, 
6600, 0, -3.53751, 3.53751, 
6700, 0, -3.68503, 3.68503, 
