step, strain, right, left, 
0, 0, -11.8818, 11.8818, 
100, 0, -3.42785, 3.42785, 
200, 0, 1.77839, -1.77839, 
300, 0, 0.488216, -0.488216, 
400, 0, -9.57245, 9.57245, 
500, 0, -7.02069, 7.02069, 
600, 0, -3.93448, 3.93448, 
700, 0, 3.72731, -3.72731, 
800, 0, -4.79965, 4.79965, 
900, 0, -8.4862, 8.4862, 
1000, 0, -6.4347, 6.4347, 
1100, 0, 1.25828, -1.25828, 
1200, 0, -0.734499, 0.734499, 
1300, 0, -5.15422, 5.15422, 
1400, 0, -8.82339, 8.82339, 
1500, 0, -2.99937, 2.99937, 
1600, 0, 1.42148, -1.42148, 
1700, 0, -3.08711, 3.08711, 
1800, 0, -9.57515, 9.57515, 
1900, 0, -4.52615, 4.52615, 
2000, 0, -0.136451, 0.136451, 
2100, 0, -2.30664, 2.30664, 
2200, 0, -6.08482, 6.08482, 
2300, 0, -6.27875, 6.27875, 
2400, 0, -3.74384, 3.74384, 
2500, 0, 0.360651, -0.360651, 
2600, 0, -3.31229, 3.31229, 
2700, 0, -5.62308, 5.62308, 
2800, 0, -5.66782, 5.66782, 
2900, 0, -0.255586, 0.255586, 
3000, 0, -2.19431, 2.19431, 
3100, 0, -8.33587, 8.33587, 
3200, 0, -7.39349, 7.39349, 
3300, 0, -1.86659, 1.86659, 
3400, 0, -0.291798, 0.291798, 
3500, 0, -4.09588, 4.09588, 
3600, 0, -7.09378, 7.09378, 
3700, 0, -5.22515, 5.22515, 
3800, 0, -0.640254, 0.640254, 
3900, 0, 0.392789, -0.392789, 
4000, 0, -6.85367, 6.85367, 
4100, 0, -5.43542, 5.43542, 
4200, 0, -3.4542, 3.4542, 
4300, 0, 0.445937, -0.445937, 
4400, 0, -4.54355, 4.54355, 
4500, 0, -6.92093, 6.92093, 
4600, 0, -8.54188, 8.54188, 
4700, 0, -0.498258, 0.498258, 
4800, 0, 0.205546, -0.205546, 
4900, 0, -5.45011, 5.45011, 
5000, 0, -8.5285, 8.5285, 
5100, 0, -2.10023, 2.10023, 
5200, 0, 1.83573, -1.83573, 
5300, 0, -4.16625, 4.16625, 
5400, 0, -8.55203, 8.55203, 
5500, 0, -6.86098, 6.86098, 
5600, 0, 2.43829, -2.43829, 
5700, 0, -1.72748, 1.72748, 
5800, 0, -4.71799, 4.71799, 
5900, 0, -9.74205, 9.74205, 
6000, 0, -4.69722, 4.69722, 
6100, 0, 1.87962, -1.87962, 
6200, 0, -1.28894, 1.28894, 
6300, 0, -7.95617, 7.95617, 
6400, 0, -5.36464, 5.36464, 
6500, 0, -3.19431, 3.19431, 
6600, 0, 2.09943, -2.09943, 
6700, 0, -3.18945, 3.18945, 
6800, 0, -8.8532, 8.8532, 
6900, 0, -7.49595, 7.49595, 
7000, 0, 0.0719691, -0.0719691, 
7100, 0, -2.33679, 2.33679, 
7200, 0, -5.41595, 5.41595, 
7300, 0, -6.06767, 6.06767, 
7400, 0, -4.30109, 4.30109, 
7500, 0, 0.458697, -0.458697, 
7600, 0, -2.79365, 2.79365, 
7700, 0, -5.74501, 5.74501, 
7800, 0, -5.04117, 5.04117, 
7900, 0, -0.0538279, 0.0538279, 
8000, 0, -2.10649, 2.10649, 
8100, 0, -7.03386, 7.03386, 
8200, 0, -6.36922, 6.36922, 
8300, 0, -3.62214, 3.62214, 
8400, 0, -0.689147, 0.689147, 
8500, 0, -4.62104, 4.62104, 
8600, 0, -5.91362, 5.91362, 
8700, 0, -5.36496, 5.36496, 
8800, 0, -0.357263, 0.357263, 
8900, 0, -2.93584, 2.93584, 
9000, 0, -3.05176, 3.05176, 
9100, 0, -6.41229, 6.41229, 
9200, 0, -4.29275, 4.29275, 
9300, 0, -2.09185, 2.09185, 
9400, 0, -1.98359, 1.98359, 
9500, 0, -6.47616, 6.47616, 
9600, 0, -5.04975, 5.04975, 
9700, 0, -4.67887, 4.67887, 
9800, 0, -2.53453, 2.53453, 
9900, 0, -1.54194, 1.54194, 
10000, 0, -9.01936, 9.01936, 
10100, 0, -3.26832, 3.26832, 
10200, 0, -0.459324, 0.459324, 
10300, 0, -1.35476, 1.35476, 
10400, 0, -5.63049, 5.63049, 
10500, 0, -6.16918, 6.16918, 
10600, 0, -3.81478, 3.81478, 
10700, 0, -1.18907, 1.18907, 
10800, 0, -3.67016, 3.67016, 
10900, 0, -7.22846, 7.22846, 
11000, 0, -4.18319, 4.18319, 
11100, 0, -2.94085, 2.94085, 
11200, 0, -3.24565, 3.24565, 
11300, 0, -5.4442, 5.4442, 
11400, 0, -3.17321, 3.17321, 
11500, 0, -5.02076, 5.02076, 
11600, 0, -2.70046, 2.70046, 
11700, 0, -3.4304, 3.4304, 
11800, 0, -2.53499, 2.53499, 
11900, 0, -7.0088, 7.0088, 
12000, 0, -3.50237, 3.50237, 
12100, 0, -2.13061, 2.13061, 
12200, 0, -1.17299, 1.17299, 
12300, 0, -5.57861, 5.57861, 
12400, 0, -7.37662, 7.37662, 
12500, 0, -1.83665, 1.83665, 
12600, 0, -0.37163, 0.37163, 
12700, 0, -8.26942, 8.26942, 
12800, 0, -5.0847, 5.0847, 
12900, 0, -1.55086, 1.55086, 
13000, 0, -1.29606, 1.29606, 
13100, 0, -4.85373, 4.85373, 
13200, 0, -6.41236, 6.41236, 
13300, 0, -3.24913, 3.24913, 
13400, 0, -0.275644, 0.275644, 
13500, 0, -1.92831, 1.92831, 
13600, 0, -7.59018, 7.59018, 
13700, 0, -4.40925, 4.40925, 
13800, 0, -1.43778, 1.43778, 
13900, 0, -1.29761, 1.29761, 
14000, 0, -0.113389, 0.113389, 
14100, 0, -6.80311, 6.80311, 
14200, 0, -3.29477, 3.29477, 
