step, strain, right, left, 
0, 0, -24.5709, 24.5709, 
100, 0, -14.8922, 14.8922, 
200, 0, -3.29534, 3.29534, 
300, 0, 6.95529, -6.95529, 
400, 0, -17.4038, 17.4038, 
500, 0, -3.69411, 3.69411, 
600, 0, -2.12338, 2.12338, 
700, 0, 0.807461, -0.807461, 
800, 0, 0.783533, -0.783533, 
900, 0, -11.8642, 11.8642, 
1000, 0, -5.81314, 5.81314, 
1100, 0, 1.41617, -1.41617, 
1200, 0, 0.429683, -0.429683, 
1300, 0, -9.53216, 9.53216, 
1400, 0, -5.02573, 5.02573, 
1500, 0, -2.42974, 2.42974, 
1600, 0, 2.00075, -2.00075, 
1700, 0, -3.34231, 3.34231, 
1800, 0, -8.5731, 8.5731, 
1900, 0, -3.64687, 3.64687, 
2000, 0, -0.645266, 0.645266, 
2100, 0, -0.858497, 0.858497, 
2200, 0, -9.19821, 9.19821, 
2300, 0, -1.6466, 1.6466, 
2400, 0, -3.9421, 3.9421, 
2500, 0, -4.29428, 4.29428, 
2600, 0, -3.15282, 3.15282, 
2700, 0, -6.28356, 6.28356, 
2800, 0, -3.12423, 3.12423, 
2900, 0, -1.95381, 1.95381, 
3000, 0, -2.56129, 2.56129, 
3100, 0, -5.16274, 5.16274, 
3200, 0, -5.41159, 5.41159, 
3300, 0, -4.99473, 4.99473, 
3400, 0, 0.121168, -0.121168, 
3500, 0, -1.99527, 1.99527, 
3600, 0, -6.96976, 6.96976, 
3700, 0, -10.3376, 10.3376, 
3800, 0, -1.27799, 1.27799, 
3900, 0, -0.910204, 0.910204, 
4000, 0, -6.7213, 6.7213, 
4100, 0, -7.64092, 7.64092, 
4200, 0, -7.92999, 7.92999, 
4300, 0, 2.37132, -2.37132, 
4400, 0, -3.21825, 3.21825, 
4500, 0, -10.9864, 10.9864, 
4600, 0, -7.48599, 7.48599, 
4700, 0, -2.15434, 2.15434, 
4800, 0, -2.58675, 2.58675, 
4900, 0, -7.89167, 7.89167, 
5000, 0, -7.23071, 7.23071, 
5100, 0, -6.02808, 6.02808, 
5200, 0, 1.66366, -1.66366, 
5300, 0, -0.272594, 0.272594, 
5400, 0, -6.94175, 6.94175, 
5500, 0, -3.69743, 3.69743, 
